"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Euro Coop - European Community of Consumer Co-operatives",Belgium,"400000 - 499999",0,4,4,2008-07-28
Eurometaux,Belgium,"400000 - 499999",6,14.5,36,2011-06-27
EuropeActive,Belgium,"400000 - 499999",0,11.5,1,2015-06-18
"European Aggregates Association",Belgium,"400000 - 499999",1,4.5,3,2009-05-07
"European Association of Central Counterparty Clearing Houses",Belgium,"400000 - 499999",0,1.5,5,2009-03-06
"European Biostimulants Industry Council",Belgium,"400000 - 499999",0,2.5,3,2014-04-23
"European Builders Confederation AISBL",Belgium,"400000 - 499999",0,5,13,2009-02-16
"European Committee for Co-operation of the Machine Tool Industries",Belgium,"400000 - 499999",0,2,1,2009-07-09
"European Construction Industry Federation",Belgium,"400000 - 499999",2,4,16,2011-07-14
"European Coordination Committee of the Radiological, Electromedical and healthcare IT Industry",Belgium,"400000 - 499999",0,1.5,27,2012-01-17
"European Copper Institute",Belgium,"400000 - 499999",0,2,6,2009-06-10
"European Dairy Association aisbl",Belgium,"400000 - 499999",3,2.75,25,2009-09-29
"European Family Businesses",Spain,"400000 - 499999",1,2.5,8,2010-09-28
"European Landowners'  Organization asbl",Belgium,"400000 - 499999",1,10.75,24,2009-02-25
"European Magazine Media Association",Belgium,"400000 - 499999",1,5.75,61,2011-09-29
"European Newspaper Publishers' Association",Belgium,"400000 - 499999",0,5.75,50,2008-07-04
"European Plastics Converters Association",Belgium,"400000 - 499999",1,2,13,2011-07-06
"European Producers Union of Renewable Ethanol",Belgium,"400000 - 499999",1,4.5,15,2010-10-31
"European Publishers Council",Belgium,"400000 - 499999",0,2.25,42,2008-09-09
"European Recycling Industries' Confederation",Belgium,"400000 - 499999",2,3,9,2015-01-11
"European Renewable Energies Federation asbl",Belgium,"400000 - 499999",0,3.5,7,2010-12-06
"European Smoking Tobacco Association",Belgium,"400000 - 499999",2,2.5,0,2008-12-22
"FEDERACION EMPRESARIAL DE CARNES E INDUSTRIAS CARNICAS",Spain,"400000 - 499999",0,2.25,0,2017-03-01
"FEhS - Institut für Baustoff-Forschung e.V.",Germany,"400000 - 499999",0,1.5,0,2016-06-02
"Fur Europe",Belgium,"400000 - 499999",3,2.75,9,2013-07-01
"GEIE European Family Businesses",Belgium,"400000 - 499999",0,2.25,0,2019-03-15
"Gesamtverband der Arbeitgeberverbände der Metall- und Elektro-Industrie e.V.",Germany,"400000 - 499999",4,3.5,4,2011-11-03
"IKEM - Innovations- och kemiindustrierna i Sverige AB (556865-4650)",Sweden,"400000 - 499999",4,3.25,0,2020-04-29
"International Road Transport Union Permanent Delegation to the EU",Switzerland,"400000 - 499999",3,12,31,2011-02-14
"Koninklijke Belgische Redersvereniging vzw",Belgium,"400000 - 499999",5,5,0,2010-04-30
"MEDICINES FOR EUROPE",Belgium,"400000 - 499999",0,2.5,59,2009-06-16
"Malta Employers Association",Malta,"400000 - 499999",0,5,0,2018-03-20
"NEWS MEDIA COALITION",Belgium,"400000 - 499999",0,1.75,1,2019-02-14
"Orgalim – Europe's Technology Industries",Belgium,"400000 - 499999",5,3.5,63,2009-03-10
"Organización Interprofesional Agroalimentaria del Porcino de Capa Blanca",Spain,"400000 - 499999",0,1,0,2017-04-10
"Securities Industry and Financial Markets Association","United States","400000 - 499999",0,1.25,18,2014-12-12
"Styrenics Circular Solutions",Belgium,"400000 - 499999",0,1.5,0,2018-10-20
"Swedish Bankers´ Association",Sweden,"400000 - 499999",0,4,8,2009-02-01
"SÜDWESTMETALL - Verband der Metall- und Elektroindustrie Baden-Württemberg e. V.",Germany,"400000 - 499999",0,1.75,0,2018-10-22
TECNIBERIA,Spain,"400000 - 499999",0,4.25,0,2014-11-13
"The European Association for the Promotion of Cogeneration",Belgium,"400000 - 499999",2,3.75,15,2011-09-02
"The Norwegian Shipowners' Association",Norway,"400000 - 499999",0,2.5,6,2012-05-09
"VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE",Belgium,"400000 - 499999",2,3.5,21,2009-02-05
"Vereinigung der österreichischen Industrie - Industriellenvereinigung",Austria,"400000 - 499999",0,3.5,28,2010-11-02
"Wirtschaftsvereinigung Stahl",Germany,"400000 - 499999",1,3.25,11,2009-06-23
"World Federation of Advertisers",Belgium,"400000 - 499999",7,1.75,5,2008-07-15
"Zentralverband Elektrotechnik- und Elektronikindustrie e.V.",Germany,"400000 - 499999",1,11,10,2011-08-24
"Związek Pracodawców Polska Miedź (The Polish Copper Employers' Association)",Poland,"400000 - 499999",0,1.25,0,2017-01-11
"amfori - Trade with Purpose",Belgium,"400000 - 499999",1,8.75,10,2011-06-28
economiesuisse,Switzerland,"400000 - 499999",0,2,0,2016-05-26
"Federation of the European Sporting Goods Industry",Belgium,455000,6,3,12,2014-05-22
"Association française des sociétés Financières",France,427760,6,1.5,3,2011-09-08
"ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU",Belgium,425000,5,3,9,2009-02-06
"Association of Cyprus Banks",Cyprus,403072,0,4,0,2015-06-16
"Verband Deutscher Verkehrsunternehmen",Germany,400000,0,2,1,2009-08-11
"5G Automotive Association",Germany,"300000 - 399999",0,1.25,10,2017-07-26
AENEAS,France,"300000 - 399999",0,1.75,0,2012-02-24
AGORIA,Belgium,"300000 - 399999",2,2,6,2010-10-20
"AIM European Brands Association",Belgium,"300000 - 399999",3,1.75,30,2008-11-26
