"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Public Interest Consultants GmbH",Austria,"50000 - 99999",0,0.5,0,2019-04-02
"RB & Partners sprl EUMATRIX International Trade Advisors",Belgium,"50000 - 99999",0,2,0,2015-03-22
"RHEA System",Belgium,"50000 - 99999",0,1,0,2019-09-16
"SJF Consulting",Belgium,"50000 - 99999",1,1,0,2014-04-14
SQUARIS,Belgium,"50000 - 99999",0,2.25,0,2020-07-15
"SRI GROUP EUROPE Sprl",Belgium,"50000 - 99999",0,1,0,2019-11-08
"SUSTAINABILITY INNOVATION S.L.",Spain,"50000 - 99999",0,1,0,2017-04-17
"Servicios Integrados Lasker S.L.",Spain,"50000 - 99999",0,3.25,0,2019-10-21
"Steven Bridges Consulting",Belgium,"50000 - 99999",0,1,0,2016-08-16
"Stratégies Mer et Littoral SAS",France,"50000 - 99999",0,1.5,0,2015-11-20
THINKTANK,Greece,"50000 - 99999",0,2,0,2018-10-25
"Time & Place Consulting",Belgium,"50000 - 99999",0,1.25,0,2019-08-26
"Tomo Group",Poland,"50000 - 99999",0,1,0,2019-08-22
VILCHES,Belgium,"50000 - 99999",0,0.75,0,2018-08-20
"VLAHOVIC GROUP LLC",Croatia,"50000 - 99999",5,1.75,1,2012-03-27
"Vinces Consulting",Spain,"50000 - 99999",3,3.75,3,2018-05-10
peopol,Germany,"50000 - 99999",0,1,1,2011-05-18
"Eamonn Bates Europe Public Affairs",Belgium,75000,3,1.5,0,2012-08-31
"PLANET Planungsgruppe Energie und Technik GbR",Germany,75000,0,0.25,1,2012-07-26
"3D4EU s.r.l.",Italy,"25000 - 49999",1,1.75,0,2020-03-11
"ALPHALEX-CONSULT GEIE",Belgium,"25000 - 49999",0,1.75,6,2016-05-26
"ANTHENOR PUBLIC AFFAIRS",France,"25000 - 49999",0,0.25,0,2009-05-18
"ASDM Consulting",Belgium,"25000 - 49999",0,1.25,2,2015-07-30
"Aerann srl",Belgium,"25000 - 49999",0,1.25,0,2017-07-12
"Alpheus Public Affairs",Croatia,"25000 - 49999",0,1,0,2019-12-16
"B2P Communications Consulting",Germany,"25000 - 49999",0,0.5,0,2019-11-25
"BERTAGNI CONSULTING SRL",Italy,"25000 - 49999",0,0.75,0,2020-09-07
BROmotion,Belgium,"25000 - 49999",1,1.25,0,2008-07-11
"Bagehot Limited","United Kingdom","25000 - 49999",0,1.25,0,2015-02-08
"Brussels Consulting Kft.",Hungary,"25000 - 49999",0,2.25,0,2017-03-02
"Brussels Direct",Belgium,"25000 - 49999",0,1,0,2011-12-13
"Business Development Group SRL",Romania,"25000 - 49999",0,0.75,0,2017-07-31
"Cabinet conseil EFINAD",Martinique,"25000 - 49999",0,2,0,2017-05-11
"Carbon Constraint Initiatives",Belgium,"25000 - 49999",0,1,0,2016-11-28
"Chronos Consulting, s.r.o.","Czech Republic","25000 - 49999",0,2.5,0,2018-07-11
Considerati,Netherlands,"25000 - 49999",0,1.5,0,2012-01-06
"Cos&Co European Law and Advocacy Advisers",Belgium,"25000 - 49999",0,1,1,2015-05-10
"Cosmo Element",Germany,"25000 - 49999",0,1,1,2018-09-25
"DC Communication",Romania,"25000 - 49999",0,2.25,0,2015-10-30
"Dario Ruivo Lda",Portugal,"25000 - 49999",0,1,0,2018-02-09
"EFS Strategy Consulting sprl",Belgium,"25000 - 49999",0,1,0,2012-06-22
"EHRENBERG SØRENSEN Kommunikation GmbH",Germany,"25000 - 49999",0,2,0,2009-11-13
"EPC CENTRO DE PROYECTOS SL",Spain,"25000 - 49999",0,1,0,2018-07-18
"EU-MAP Consulting Ltd","United Kingdom","25000 - 49999",0,1,1,2016-10-10
"EUROCONSULTING s.r.o.",Slovakia,"25000 - 49999",0,1.75,0,2018-03-28
"EUROHUB Consultancy Group",Belgium,"25000 - 49999",0,1,0,2012-10-25
"Environmental Resources Management",Belgium,"25000 - 49999",0,0.75,3,2018-10-11
"Euro Freelancers",Belgium,"25000 - 49999",0,0.75,0,2012-02-09
"European Public Policy Associates (UK) Ltd","United Kingdom","25000 - 49999",0,0.25,0,2009-07-20
"European&Corporete Strategy-Brussels",Croatia,"25000 - 49999",3,1.5,1,2011-05-27
"FAENTIA CONSULTING",Italy,"25000 - 49999",0,1.5,0,2019-11-18
"FIRST Public Relations Sp. z o.o.",Poland,"25000 - 49999",0,1.5,0,2011-09-05
