"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"The Pew Charitable Trusts","United States","1500000 - 1749000",8,15,43,2011-10-21
"Zrzeszenie Międzynarodowych Przewoźników Drogowych w Polsce",Poland,"1500000 - 1749000",0,2.25,4,2016-11-07
"Sanitation and Water for All","United States",1656747,0,4.5,0,2016-01-27
"Fédération des Industries Ferroviaires",France,1650000,1,1.75,0,2014-03-28
"International Association of Oil & Gas Producers","United Kingdom",1650000,6,8.75,31,2008-10-10
"Magyar Bankszövetség",Hungary,1625000,0,7.5,0,2016-11-07
"Union européenne de l'Artisanat et des petites et moyennes entreprises, aisbl",Belgium,1608856,4,15,114,2009-02-20
Concawe,Belgium,1600000,0,5,2,2011-07-26
"Construction Products Association","United Kingdom",1600000,0,0.25,0,2016-09-08
"Société Coopérative Maritime de Sete",France,1593000,1,3,0,2016-03-31
"Deutsche Post DHL Group",Germany,1564271,9,8,20,2011-01-27
"Barclays PLC","United Kingdom",1547539,1,2.5,17,2011-08-03
"Syngenta International AG",Switzerland,1510000,2,1.75,18,2009-09-25
"Association pour la coordination des horaires",France,1500000,0,1,0,2016-07-01
"BNA Branchevereniging van Nederlandse Architectenbureaus",Netherlands,1500000,0,2,0,2016-07-26
"ANIMA Investment Network",France,"1250000 - 1499999",0,11,0,2016-02-03
"ARCTURUS GROUP",Belgium,"1250000 - 1499999",16,15,14,2011-09-16
"Amgen Inc","United States","1250000 - 1499999",2,4.5,1,2011-02-07
"Antall József Knowledge Center",Hungary,"1250000 - 1499999",1,6,0,2016-05-16
"Association de Lutte contre la Piraterie Audiovisuelle",France,"1250000 - 1499999",0,7.5,0,2016-04-04
"Bank of America Merrill Lynch","United Kingdom","1250000 - 1499999",0,2.75,33,2011-01-19
"Bayerische Motoren Werke Aktiengesellschaft",Germany,"1250000 - 1499999",3,5.25,52,2008-12-17
BlackRock,"United States","1250000 - 1499999",6,2.5,35,2010-11-09
"Bund der Steuerzahler Deutschland e. V.",Germany,"1250000 - 1499999",0,20,1,2016-12-21
"Centre for European Reform","United Kingdom","1250000 - 1499999",0,13,36,2015-01-19
"Chevron Belgium NV","United States","1250000 - 1499999",4,3.25,4,2012-05-22
"Community of European Railway and Infrastructure Companies",Belgium,"1250000 - 1499999",19,7.5,47,2008-07-02
Ericsson,Sweden,"1250000 - 1499999",5,7.25,54,2010-01-22
Eurometaux,Belgium,"1250000 - 1499999",7,12.5,36,2011-06-27
"F. Hoffmann-La Roche Ltd",Switzerland,"1250000 - 1499999",1,4.25,1,2009-05-20
"FIPRA International Limited","United Kingdom","1250000 - 1499999",26,27.25,45,2010-10-06
"Gas Infrastructure Europe",Belgium,"1250000 - 1499999",2,6,10,2009-07-28
"Insight Consultants",Ireland,"1250000 - 1499999",0,6,2,2015-11-13
"Institut français de recherche pour l’exploitation de la mer",France,"1250000 - 1499999",0,12,0,2016-05-24
"Intel Corporation","United States","1250000 - 1499999",7,5.75,22,2008-12-31
"International Federation of Organic Agriculture Movements EU Regional Group",Belgium,"1250000 - 1499999",9,15.25,26,2009-03-04
"International Union for Conservation of Nature EU Representative Office",Belgium,"1250000 - 1499999",4,13.25,29,2012-04-03
"JPMorgan Chase & Co.","United States","1250000 - 1499999",3,2,37,2009-01-12
"King Baudouin Foundation",Belgium,"1250000 - 1499999",0,2,0,2015-05-29
"Philip Morris International Inc.",Switzerland,"1250000 - 1499999",4,1.5,5,2009-07-07
"Rohde Public Policy",Belgium,"1250000 - 1499999",12,9.5,5,2010-10-01
"STARCH EUROPE",Belgium,"1250000 - 1499999",5,6,11,2011-09-01
"Solvay SA",Belgium,"1250000 - 1499999",3,2.25,9,2009-02-19
"The Applied Research Institute - Jerusalem","Palestinian Territories","1250000 - 1499999",0,19.75,0,2016-03-23
"UBS Group AG",Switzerland,"1250000 - 1499999",4,1.5,16,2014-12-12
"UK Research Office",Belgium,"1250000 - 1499999",5,10,3,2013-04-03
"University of Warwick","United Kingdom","1250000 - 1499999",0,86,3,2015-01-30
"União Geral de Trabalhadores",Portugal,"1250000 - 1499999",0,38,0,2016-12-28
"the Swedish Association of Public Housing Companies",Sweden,"1250000 - 1499999",0,8.75,0,2016-10-14
