"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Centre for European Reform","United Kingdom","1250000 - 1499999",0,16.5,36,2015-01-19
"Centre for Fine Arts",Belgium,"1250000 - 1499999",0,5,20,2015-07-07
Ericsson,Sweden,"1250000 - 1499999",4,6.25,54,2010-01-22
EuroCommerce,Belgium,"1250000 - 1499999",18,9,137,2009-02-19
"Eurochild AISBL",Belgium,"1250000 - 1499999",3,12,11,2009-02-18
Eurometaux,Belgium,"1250000 - 1499999",5,14.5,36,2011-06-27
"European Social Network","United Kingdom","1250000 - 1499999",0,14,7,2009-04-14
"European Telecommunications Standards Institute",France,"1250000 - 1499999",1,4.5,6,2015-03-09
"Federation of European Securities Exchanges",Belgium,"1250000 - 1499999",6,5,14,2011-08-22
"Fédération Nationale de l'Artisanat Automobile",France,"1250000 - 1499999",0,20.5,2,2017-01-12
"Hume Brophy",Ireland,"1250000 - 1499999",17,18,28,2009-01-07
Huntsman,"United States","1250000 - 1499999",0,4,0,2017-01-27
Ibec,Ireland,"1250000 - 1499999",1,10,33,2014-06-03
"Industrieanlagenbetriebsgesellschaft mbH",Germany,"1250000 - 1499999",1,11.75,0,2017-01-19
"Institut Jacques Delors / Jacques Delors Institute",France,"1250000 - 1499999",0,11,26,2015-05-12
"Institut français de recherche pour l’exploitation de la mer",France,"1250000 - 1499999",0,15.5,0,2016-05-24
"Intel Corporation","United States","1250000 - 1499999",5,5.5,22,2008-12-31
"JT International",Switzerland,"1250000 - 1499999",6,3,1,2011-06-14
"King Baudouin Foundation",Belgium,"1250000 - 1499999",0,2,0,2015-05-29
Monsanto,"United States","1250000 - 1499999",0,1.25,5,2013-05-14
"Philip Morris International Inc.",Switzerland,"1250000 - 1499999",7,2.5,5,2009-07-07
Phrenos,Belgium,"1250000 - 1499999",0,8.5,0,2018-03-21
"QUALCOMM Inc.","United States","1250000 - 1499999",1,6,49,2009-12-21
"Secretariat of COMECE (Commission of the Episcopates of the European Union)",Belgium,"1250000 - 1499999",7,7.5,10,2011-10-07
"Skane Lans Landsting",Sweden,"1250000 - 1499999",0,20,0,2017-11-08
"Solvay SA",Belgium,"1250000 - 1499999",0,1,9,2009-02-19
"Stichting BirdLife Europe",Netherlands,"1250000 - 1499999",8,17,72,2008-12-04
"The Applied Research Institute - Jerusalem","Palestinian Territories","1250000 - 1499999",0,19.75,0,2016-03-23
"Trinomics B.V.",Netherlands,"1250000 - 1499999",0,22,4,2017-08-24
"UBS Group AG",Switzerland,"1250000 - 1499999",0,1.5,16,2014-12-12
"University of Warwick","United Kingdom","1250000 - 1499999",0,86,3,2015-01-30
VinylPlus,Belgium,"1250000 - 1499999",0,3.25,1,2012-07-04
"Vlaamse Hogescholenraad",Belgium,"1250000 - 1499999",0,2.75,1,2018-09-21
"Związek Gmin i Powiatów Subregionu Centralnego Województwa Śląskiego",Poland,"1250000 - 1499999",0,10,0,2018-02-02
"Research and Education Laboratory in Information Technologies",Greece,1456350,0,30,0,2018-03-08
"Klaipėdos turizmo mokykla",Lithuania,1396267,0,12.5,0,2017-04-26
"European AIDS Treatment Group",Germany,1372184,0,10,4,2012-02-13
"Instytut Metali Niezelaznych",Poland,1321300,0,15.25,0,2015-06-18
"Rupprecht Consult - Forschung & Beratung GmbH",Germany,1319058,0,15.75,0,2011-05-06
"ANIMA Investment Network",France,"1000000 - 1249999",0,9.25,0,2016-02-03
"Airlines for Europe",Belgium,"1000000 - 1249999",7,6.5,40,2016-03-14
"Airports Council International - European Region",Belgium,"1000000 - 1249999",5,11.25,56,2010-04-22
"Ajuntament de Barcelona",Spain,"1000000 - 1249999",0,20,0,2018-02-08
"American Chamber of Commerce to the European Union",Belgium,"1000000 - 1249999",9,9,151,2008-10-14
"Apple Inc.","United States","1000000 - 1249999",5,3.25,60,2013-06-20
"Asociación Empresarial de Investigación Centro Tecnológico del Mármol, Piedra y Materiales",Spain,"1000000 - 1249999",0,1.5,0,2016-12-07
"Association pour un Hébergement et un TOurisme Professionnels",France,"1000000 - 1249999",0,2.25,0,2015-12-24
"Avisa Partners",Belgium,"1000000 - 1249999",6,11,41,2009-05-07
"BioForum Vlaanderen",Belgium,"1000000 - 1249999",0,1,0,2013-09-05
CERIC-ERIC,Italy,"1000000 - 1249999",0,4,0,2014-09-26
"COBRA INSTALACIONES Y SERVICIOS,S.A.",Spain,"1000000 - 1249999",0,5,0,2015-01-21
"COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA",Spain,"1000000 - 1249999",0,10,0,2017-07-06
"Caritas Europa",Belgium,"1000000 - 1249999",10,9.25,24,2009-01-06
"Carnegie Europe",Belgium,"1000000 - 1249999",0,14.25,14,2015-09-24
"Center for the Study of Democracy",Bulgaria,"1000000 - 1249999",0,20.25,2,2010-11-17
"Chevron Belgium NV","United States","1000000 - 1249999",4,3.25,4,2012-05-22
"Cisco Systems Inc.","United States","1000000 - 1249999",0,3.75,59,2014-12-08
