"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Japan Tobacco International SA",Switzerland,"650000 - 700000",0,,1,2011-06-14
"Nokia Siemens Networks",Belgium,"600000 - 700000",0,,0,2012-01-24
"Novartis International AG",Switzerland,"600000 - 700000",0,,22,2009-04-27
"Pfizer Inc.","United States","600000 - 700000",0,,8,2008-12-18
"Regio Randstad",Netherlands,"600000 - 700000",0,,0,2011-11-18
SAP,Germany,"600000 - 700000",0,,0,2009-12-30
"Sony Europe Limited","United Kingdom","650000 - 700000",0,,0,2008-09-05
openapp,Ireland,"600000 - 700000",0,,0,2011-09-28
"EUROPA DONNA-The European Breast Cancer Coalition",Italy,"600000 - 699999",0,,1,2009-02-13
"The Japan Refrigeration and Air Conditioning Industry Association",Japan,650995,0,,0,2011-11-29
"Friends of the Earth Europe",Belgium,"600000 - 650000",0,,70,2008-09-12
"Syngenta International AG",Switzerland,"600000 - 650000",0,,18,2009-09-25
"The NHS Confederation","United Kingdom","600000 - 650000",0,,0,2011-09-23
"Vereniging VNO-NCW",Netherlands,"600000 - 650000",0,,19,2010-09-07
"Vereniging van Nederlandse Gemeenten",Netherlands,"600000 - 650000",0,,3,2010-09-01
"European Competitive Telecommuniations Association","United Kingdom",640000,0,,38,2009-09-08
"Deutsche Bahn AG",Germany,613000,0,,30,2008-10-08
"Friends of the Supergrid",Belgium,600000,0,,8,2011-03-07
"AMICE - Association of Mutual Insurers and Insurance Cooperatives in Europe",Belgium,"550000 - 600000",0,,6,2009-05-26
"BNP PARIBAS",France,"500000 - 600000",0,,42,2009-02-10
"BOUYGUES EUROPE SA",Belgium,"500000 - 600000",0,,18,2009-12-08
"Business Bridge Europe",Belgium,"500000 - 600000",0,,42,2011-05-16
Cargill,"United States","500000 - 600000",0,,6,2009-06-12
"EAC European Automobile Clubs",Belgium,"550000 - 600000",0,,1,2011-07-12
"EUPPORTUNITY (QB, Lda.)",Portugal,"500000 - 600000",0,,10,2011-09-01
"European Aeronautic Defence and Space Company",Netherlands,"500000 - 600000",0,,202,2008-11-26
"European Tyre & Rubber Manufacturers' Association",Belgium,"500000 - 600000",0,,11,2008-12-23
"Federation of European Motorcyclists Associations",Belgium,"500000 - 600000",0,,0,2012-01-24
"Genzyme Corporation","United States","500000 - 600000",0,,0,2008-10-17
"Institute of Chartered Accountants in England and Wales","United Kingdom","500000 - 600000",0,,7,2008-12-04
"LANXESS AG",Germany,"500000 - 600000",0,,2,2011-01-13
"Motion Picture Association","United States","500000 - 600000",0,,26,2009-05-18
"National Grid PLC","United Kingdom","550000 - 600000",0,,14,2011-09-15
"Robert Bosch GmbH",Germany,"500000 - 600000",0,,42,2008-10-24
Rolls-Royce,"United Kingdom","500000 - 600000",0,,21,2010-01-26
"Royal Pharmaceutical Society of Great Britain","United Kingdom","550000 - 600000",0,,0,2011-09-05
SANOFI,France,"500000 - 600000",0,,17,2009-12-11
"Scottish Fishermen's Federation","United Kingdom","550000 - 600000",0,,0,2008-08-28
Unilever,Netherlands,"500000 - 600000",0,,35,2009-01-05
"acumen public affairs",Belgium,"500000 - 600000",0,,1,2011-09-20
"eBay EU liaison office",Switzerland,"550000 - 600000",0,,33,2009-09-21
FERN,Belgium,"500000 - 599999",0,,32,2011-01-25
"PERNOD RICARD",France,580000,0,,26,2008-06-23
MARCOGAZ,Belgium,568000,0,,0,2011-07-07
"European Wind Energy Association",Belgium,559456,0,,82,2011-08-24
DCNS,France,"500000 - 550000",0,,12,2011-04-21
"asociacion de cadenas españolas de supermercados (spanish association of supermarket chains)",Spain,"500000 - 550000",0,,0,2011-06-27
UNIFE,Belgium,535000,0,,43,2008-10-17
"Confederation of European Waste-to-Energy Plants",Germany,518750,0,,11,2008-09-24
"European Newspaper Publishers' Association",Belgium,500000,0,,50,2008-07-04
"Handelsverband Deutschland - Der Einzelhandel",Germany,500000,0,,20,2009-05-27
"WirtschaftsVereinigung Metalle",Germany,500000,0,,2,2009-01-08
"APC ADVANCED PLANNING-CONSULTING ΣΥΜΒΟΥΛΟΙ ΕΠΙΧΕΙΡΗΣΕΩΝ Α.Ε.",Greece,"450000 - 500000",0,,0,2009-12-30
"Association Européenne des Concessionnaires d'Autoroutes et d'Ouvrages à Péage",France,"450000 - 500000",0,,8,2011-03-14
"Aussenhandelsverband fuer Mineralöl und Energie",Germany,"450000 - 500000",0,,0,2010-12-15
"BVI Bundesverband Investment und Asset Management e.V.",Germany,"450000 - 500000",0,,18,2010-09-14
"Baxter Healthcare SA",Switzerland,"450000 - 500000",0,,1,2011-11-16
"Bureau Européen de l'Agriculture Française",Belgium,"450000 - 500000",0,,5,2011-08-04
"CECED (European Committee of Domestic Equipment Manufacturers)",Belgium,"450000 - 500000",0,,24,2010-05-21
"CNC - Communications & Network Consulting AG",Germany,"450000 - 500000",0,,4,2011-07-05
"Central Denmark EU Office",Belgium,"450000 - 500000",0,,3,2011-12-15
"Conderation of Swedish Enterprise",Sweden,"450000 - 500000",0,,29,2011-12-22
"Confederation of British Industry","United Kingdom","450000 - 500000",0,,37,2011-10-21
"Confederation of Danish Industry",Denmark,"450000 - 500000",0,,31,2008-09-22
"ECDL Foundation",Ireland,"450000 - 500000",0,,4,2009-10-07
"ENVISA SAS",France,"450000 - 500000",0,,0,2011-07-07
"EUROLINES ORGANISATION",Belgium,"450000 - 500000",0,,0,2010-08-09
"Eli Lilly and Company","United States","450000 - 500000",0,,14,2010-04-02
EuroCommerce,Belgium,"450000 - 500000",0,,137,2009-02-19
"Eurogroup for Wildlife and Laboratory Animals",Belgium,"450000 - 500000",0,,0,2008-10-10
"European Federation for Transport and Environment",Belgium,"450000 - 500000",0,,161,2010-02-22
"European Peacebuilding Liaison Office",Belgium,"450000 - 500000",0,,3,2009-01-02
"European Petroleum Industry Association",Belgium,"450000 - 500000",0,,35,2010-12-08
GEODE,Belgium,"450000 - 500000",0,,12,2011-09-07
"Henkel AG & Co. KGaA",Germany,"450000 - 500000",0,,8,2009-12-22
"International Confederation for Printing and Allied Industries",Belgium,"450000 - 500000",0,,0,2009-12-18
"International Road Transport Union Permanent Delegation to the EU",Belgium,"450000 - 500000",0,,31,2011-02-14
"Istituto Internazionale per le Relazioni Diplomatiche",Italy,"450000 - 500000",0,,0,2011-03-06
"LUKOIL OIL COMPANY",Russia,"450000 - 500000",0,,0,2011-07-28
"National Farmers' Union","United Kingdom","450000 - 500000",0,,0,2008-08-13
"Nickel Institute",Canada,"450000 - 500000",0,,8,2010-04-08
"North Norway European Office",Norway,"450000 - 500000",0,,0,2011-09-06
ONE,Belgium,"450000 - 500000",0,,30,2011-12-06
"ONG GLOBE",Mauritania,"450000 - 500000",0,,0,2012-02-09
"Organización de Productores Asociados de Grandes Atuneros Congeladores",Spain,"450000 - 500000",0,,4,2009-09-08
"Organziación de Consumidores y Usuarios",Spain,"450000 - 500000",0,,0,2010-01-14
"SARAH BIONTINO CONSULTANTS",Belgium,"450000 - 500000",0,,5,2011-11-23
"SUEZ ENVIRONNEMENT",France,"450000 - 500000",0,,30,2009-10-12
"Scania AB (publ)",Sweden,"450000 - 500000",0,,40,2009-01-05
"Société Nationale des Chemins de Fer Français",France,"450000 - 500000",0,,22,2009-01-28
"Symantec Corporation",Belgium,"450000 - 500000",0,,30,2008-12-18
"The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association",Belgium,"450000 - 500000",0,,21,2011-09-14
"Thorvik International Consulting AS",Norway,"450000 - 500000",0,,0,2011-01-12
"Unione delle Camere Penali Italiane",Italy,"450000 - 500000",0,,0,2008-11-18
"WIDE network",Belgium,"450000 - 500000",0,,0,2009-09-30
"WWF European Policy Programme",Belgium,"450000 - 500000",0,,156,2008-09-23
"World Federation of Advertisers",Belgium,"450000 - 500000",0,,5,2008-07-15
"Action for Teens",Belgium,"400000 - 499999",0,,0,2011-09-08
"Alliance Defense Fund","United States","400000 - 499999",0,,0,2010-08-20
"LATVIJAS ZIVSAIMNIEKU ASOCIĀCIJA",Latvia,"400000 - 499999",0,,0,2009-09-10
"UGAL - Union des Groupements de Détaillants indépendants de l'Europe a.i.s.b.l.",Belgium,462800,0,,22,2008-06-25
"NYSE Euronext","United States",450000,0,,14,2010-12-16
"Verband der Automobilindustrie",Germany,450000,0,,50,2010-12-14
"Wintershall Holding GmbH",Germany,450000,0,,5,2011-07-26
"American Chamber of Commerce to the European Union",Belgium,"400000 - 450000",0,,151,2008-10-14
"Athenora Consulting",Belgium,"400000 - 450000",0,,8,2008-06-23
"BXL Consulting s.r.o.",Belgium,"400000 - 450000",0,,0,2011-03-02
"British American Tobacco","United Kingdom","400000 - 450000",0,,2,2009-01-21
"CLECAT - European association for forwarding, transport, logistic and Customs services",Belgium,"400000 - 450000",0,,6,2008-06-28
"CONFCOMMERCIO - IMPRESE PER L'ITALIA",Italy,"400000 - 450000",0,,17,2011-12-13
"Cicero Consulting Limited","United Kingdom","400000 - 450000",0,,6,2011-10-18
"Crédit Agricole S.A.",France,"400000 - 450000",0,,17,2009-02-10
Diageo,"United Kingdom","400000 - 450000",0,,18,2011-04-19
"EUK Consulting",Belgium,"400000 - 450000",0,,7,2009-03-09
"EUROPEAN APPAREL AND TEXTILE CONFEDERATION",Belgium,"400000 - 450000",0,,11,2008-07-16
"Elinkeinoelämän keskusliitto",Finland,"400000 - 450000",0,,70,2008-12-22
"EuroGeoSurveys - The Geological Surveys of Europe",Belgium,"400000 - 450000",0,,8,2010-09-27
Eurometaux,Belgium,"400000 - 450000",0,,36,2011-06-27
"European Association for the Co-ordination of Consumer Representation in Standardisation",Belgium,"400000 - 450000",0,,4,2008-06-30
"European Citizen Action Service",Belgium,"400000 - 450000",0,,2,2010-06-04
"European Magazine Media Association",Belgium,"400000 - 450000",0,,61,2011-09-29
"European Property Federation",Belgium,"400000 - 450000",0,,1,2010-07-12
"European security Transport Association Aisbl",Belgium,"400000 - 450000",0,,0,2008-06-26
"Fiat SpA/Fiat Industrial SpA",Italy,"400000 - 450000",0,,7,2008-12-30
"Fédération Internationale de l'Automobile",France,"400000 - 450000",0,,32,2011-02-22
"H. Lundbeck A/S",Denmark,"400000 - 450000",0,,0,2009-11-18
"LVMH Publica",France,"400000 - 450000",0,,33,2009-09-22
"Local Government Denmark",Denmark,"400000 - 450000",0,,2,2011-09-15
"Lysias Consulting Group",Netherlands,"400000 - 450000",0,,0,2012-01-09
ORGALIME,Belgium,"400000 - 450000",0,,63,2009-03-10
"QUALCOMM Inc.","United States","400000 - 450000",0,,49,2009-12-21
"REAL CASA DE PORTUGAL",Italy,"400000 - 450000",0,,0,2011-03-06
RENAULT,France,"400000 - 450000",0,,17,2008-06-26
"Société Générale",France,"400000 - 450000",0,,29,2009-04-30
"Tata Steel Europe","United Kingdom","400000 - 450000",0,,9,2009-04-09
"The Boeing Company","United States","400000 - 450000",0,,22,2010-06-15
"Transparency International Liaison Office to the European Union",Belgium,"400000 - 450000",0,,47,2008-06-23
"UPS Europe SA/NV",Belgium,"400000 - 450000",0,,19,2011-09-01
